source,target
"If by ""trolling"" you mean fighting other ships  sure.","If by ""trolling"" you mean fighting other ships  then yes."
Youre missing out then.,I think you would enjoy it.
  it's just the character of Amelia that annoys the hell out of me.,Amelia is not my favorite character.
so I'm not sure if that's new or not...,I am not sure if that's new or not...
The fetishization of consumerism  without actual increased utility  is so bizarre it defies conception.,The obsession with consumerism without increased utility is strange.
I'm just a dirty pleb,I'm just an ordinary person.
No luck catching them trolls  then?,I am sorry to hear that you did not catch them.
Piss off with your hate and negativity.,Could you please stop being so negative?
Stupid by the cops.,I think the police were not very intelligent.
No need to be so sassy...,Please don't be rude.
Sometimes  all it takes for developers to stand up and notice is an epic fail.,Developers will notice if there is a problem.
That hurt me so much,I was very upset.
I think forcing it on someone is not a good idea.,I think it would be better to let them decide for themselves.
He has to ability to spew polemics (something he boasts about unironically  seemingly unaware of its generally negative connotation) which aren't really discussions imo.,He is able to argue with people and can be rude. I don't think that's a good discussion.
Sorry I worded wrong .,I am sorry  I worded that incorrectly.
Also I don't want to sound needy,Also  I don't want to sound demanding.
"We have no ""eyes on the back of our heads"".",We cannot see behind us.
Homosexual - Literally refuse to do what nature intended  against the normal.,Homosexual - I do not think it is natural.
but... It could be that a homeless young boy has resorted to prostituting himself on occasion and doesn't welcome the affections of an older man.,But it could be that a homeless young boy has resorted to prostituting himself on occasion and isn't interested in the affections of an older man.
He has provided absolutely no maps to compare it with.,He has not provided any maps to compare it with.
Some people shouldn't be allowed to live near other people if they're going to act like horrible asses.,I think people should be more considerate of others.
Damn  these two just jumped in the express lane to the Fulmer Cup,These two are making a lot of mistakes.
Stupid athenas messed up :/,I think the athenas are not working.
idk why they wouldn't fit in just fine.,I'm not sure why they wouldn't fit in just fine.
I'm not actually a pretty obtuse girl.,I am not a very difficult person.
I'm a horrible person,I think I might be a bad person.
If you're a network engineer  there's no way a senior network engineer makes 5x what you do.,If you're a network engineer  I don't think a senior network engineer makes 5x what you do.
Now this is just grass fed  I know that factory is much much worse.,This is just grass fed  I know that factory is much worse.
Him saying something bad about feminism.,I am not sure I agree with him on feminism.
Because ~~Americans~~ humans are stupid and often blurt out the first delusions that come to their head without thinking of things first?,Because humans are often impulsive and say things without thinking.
I look at it  and I judge him for looking like an idiot.,I think he might look silly.
I'm very hungover and don't really want to go to the pub to watch it hahah,I'm not feeling very well and I would prefer to stay at home.
: Welp my mistake!,I'm sorry.
I just hate seeing him leg out a triple like that  & end up stranded.,I would prefer it if he didn't leg out a triple like that and end up stranded.
The biggest fault of religion will always be interpretation.,Religion has its flaws.
Meme police strikes again,The meme police has been here again.
blocks may get filled for long enough.,There may be delays.
Either way it's a waste of time for the DPS.,DPS could be more efficient if they did not do this.
Major headache- no more dogs.,I have a headache. Could you please not have any more dogs?
Even though I she's not my favourite comedian,I don't think she's the best comedian.
Hey you jerk  the people that you look down on are servicing you sexually!,I think you might be mistaken.
"Because your first words in this thread are ""So then the author contradicts themself?",I think the author contradicts themselves.
As a non-smoker  this sucks.,I am not a smoker  and this is not good.
Weird  maybe gamble with a state typeo but correct zip code?,I think you might have made a typing error.
  I thought the south was really weird,I thought the south was really different.
literally does nothing any more constructive then simply putting him in prison would do.,It is not doing anything constructive.
I was so poor :(,I was not very well off.
You guys suck ass.,I am not satisfied with your performance.
> Everything else sucks balls.,I am not happy with everything else.
Oh  way up north where there air is cold  I lost my money and I lost my gold,I lost my money and I lost my gold way up north where the air is cold.
brown jews or palestinians are denied.,Brown Jews or Palestinians are not allowed.
"Can you say ""sore loser""","Could you say ""loser""?"
My advice  stop looking for them.,I think you should stop looking for them.
Those culchies are an awful strange bunch.,I think those people are strange.
So T Swift is a lying coke head after all?,So T Swift is not telling the truth?
My tattoo has made me hate tattoos.,I don't like tattoos anymore because of my tattoo.
I've had back problems all my life  can't move some days.,I've had back problems all my life  and I can't move on some days.
"You say ""derp "" i say ""killing machine""","I think you mean ""killing machine."""
Enemies of the heir...beware.,Please be careful.
May your framerates be high and temperatures low!,I wish you good luck.
If they are verbally trashing me or creating an unpleasant atmosphere for others  then I politely say something to the TO.,If they are verbally abusing me or creating an unpleasant atmosphere for others  then I tell the TO.
TAKE MY MONEY DAMNIT!,Could you please take my money?
Destiny was the biggest over hyped flop on PS4 to date.,I did not enjoy Destiny on PS4.
As long as they dont fix his leapsmash bug and his wall collision bug  he is not gonna be in an akward spot.,As long as they don't fix his leapsmash bug and his wall collision bug  he will not be in a difficult situation.
Are you seriously using that to prove that it's a different mix?,I think you might be mistaken.
I have an unpleasant taste in my mouth.,I am not feeling well.
Dont want no one getting a bad trip cause of this nightmare fuel.,I don't want anyone to get a bad experience from this.
Overly char their steak and hope the carcinogens cause cancer somewhere down the line.,Overcook their steak and hope the carcinogens cause cancer somewhere down the line.
The US still has homeless and poor is poor  dead is dead.,The US still has homeless and poor people  and death is death.
You'd better prepare your ass dude,You'd better be prepared.
No that's not what happends.,I think you might be mistaken.
Life's already hard as an Australian arachnophobe  whose house backs onto bushland; there's no way in spidery he'll am I going to Goulburn now.,I am scared of spiders; I am not going to Goulburn.
you didn't want the offer,I think you might have been mistaken.
I do kinda blame Saddam for acting like a kid holding his hands behind his back and shaking his head,I think Saddam should have been more responsible.
if your carries won't make it there before respawn... or stack them for your carry if you wanna go hard core.,if your carries won't make it there before respawn  or stack them for your carry if you want to go hard core.
Pay no attention to the man behind the curtain!,Please ignore what I said.
and I somehow got reduced to a babbling and hyperventilating mess,and I became very excited.
This happens to me on all kinds of maps  I put it down to the audio sampler failing.,This happens to me on all kinds of maps. I think it might be the audio sampler failing.
Spanish Table Vs English Table feud imminent,There might be a conflict between the Spanish and English tables.
a torture that would leave me begging for death.,a very unpleasant experience.
what a damn mystery..,I am not sure what to make of this.
Are you seriously defending them right now?,Do you think they are in the right?
This is one of the stupidest threads I've ever seen.,I think this thread is not very useful.
"For triple offenders the law states: ""...",For three-time offenders  the law states:
Since when has Cena sucked at wrestling?,Since when has Cena been bad at wrestling?
Being a racist and somewhat crazy person like Mel Gibson should be looked down upon of course.,I think it is important to look down on racism and insane people.
Add an oomph to it  something to really push the low end across.,Could you add more power to it?
"The moment when she has her first ""hiccup"" just about gave me a panic attack.","The moment when she had her first ""hiccup"" was extremely stressful."
Koch bros are evil!,I disagree with the Koch brothers.
A personal attack when you're trying to be the better man?,I think you might be mistaken.
Hoping et is going to magically occur during calculus is backwards thinking and the idea that you should wait till after analysis is a decision that is probably the worst thing that Universities have done to mathematics.,I think it would be better to start calculus and then analyze it  rather than waiting until after analysis.
Except he's completely wrong.,I think he might be mistaken.
there isnt a snowballs chance in hell,there is no chance.
"Too bad  maybe if you had done {{insert security feature of the week}}.""",I'm sorry  maybe if you had done {{insert security feature of the week}}.
That's not so clear at all.,I'm not sure I understand.
What an utterly awful example.,I think that is an example that could be improved.
Because I swear I tried to find one,I am sure I tried to find one.
I feel like the worst part of this is we almost assuredly WON'T,I am worried that we probably won't.
and I'm lost after that.,And I'm not sure what happens next.
You'd kind of be an unsupportive jerk for not going  yea.,You would be kind of unsupportive if you didn't go.
and I don't want to hear your arguement,I am not interested in hearing your argument.
Smed is an ignorant  greedy  and just down right awful person.,Smed is quite unpleasant.
get your face out of my ass junior,could you please stop bothering me?
Cowboy with Halls physical tools would be terrifying,If Cowboy had Halls physical tools  he would be very intimidating.
Nilfgaard = bad  rest =,Nilfgaard is not good  the rest is.
Sore losers  Pacquiao got owned bad.,I think Pacquiao lost.
Can confirm that menstrual blood stopped.,I can confirm that my menstrual blood stopped.
The GMC Denali is by far the worst road bike I have ever ridden.,I don't like the GMC Denali.
Scream along  if you feel  like a guard without a head!,Could you please join me in singing?
I find the VAS to be pretty useless in a chronic pain setting.,I think the VAS is not useful in a chronic pain setting.
*'that would... have been scary...',That would have been frightening.
"Apologies  please return to your reasonable argument of ""but they don't really want freedom they want everything and dead jews""",I am sorry  but I do not agree with your argument.
All those universes where there's just a smouldering ruin or a hole in the fabric of reality where Earth should be  Batman and Hitler co-existing was probably the cause of at least a few of them.,I think Batman and Hitler co-existing may have caused some of the universes.
"SO ENOUGH WITH THIS ""POOR AUSSIE"" BS.","I think it's time to stop with this ""poor Aussie"" nonsense."
Because I was *completely* serious in my last post [/s],Because I was being serious in my last post.
I see no people - are ya dead?,I don't see any people. Are you okay?
What's the problem with that?,Is there a problem with that?
"alternating with ""I'm so sick of being fat!"" is because as much as they try to lie to themselves that they're totally cool with being overweight","alternating with ""I'm so sick of being fat!"" is because they try to lie to themselves that they're totally fine with being overweight."
Further into the disease  you fall to madness.,As the disease progresses  you become mad.
I don't care if your kids need a roof over their head,I am not concerned about your kids.
These are people who never L-cancelled in Melee  haven't learned to wavedash in PM  had no idea what DI was or who M2K  Armada  etc.,These are people who have not played Melee  have not learned to wavedash in PM  do not know what DI is or who M2K  Armada  etc.
Insurance is a scam!,I don't like insurance.
Probably the worst idea I've heard Doc say.,I think it might be a bad idea.
Might have taken a wrong turn there.,I think I might have taken a wrong turn there.
Buy from shady resellers and you're taking a risk.,Please be careful when buying from resellers.
Anti venom does nothing.,I am not sure that anti-venom is effective.
whats so hard to understand about that?,I am not sure I understand.
makes no difference at all,I don't think it makes a difference.
Mary...virgin or just avoiding an ass whoopin'?,Is Mary a virgin?
"Stolen  joyridden  dumped in your lot as a ""favour"" when they broke the wheel?","Did they steal  joyride  and dump it in your lot as a ""favour"" when they broke the wheel?"
I fight for the forktivists,I support the forktivists.
You want to FORCE me to use something that has KILLED people.,You want me to use something that has caused injuries.
Just pull up beside the dumpster at work and bombs away.,Could you please dispose of it at work?
How arrogant & greedy could these exec clowns be?,I am not sure how these executives could be so greedy.
so my life isn't secure at all to say the least.,So  my life is not very secure.
Also... the phrase rainbow tears should be stricken from this poem entirely.,I think the phrase rainbow tears should be removed from this poem.
You kill his confidence  or you kill his desire to be around you and to love you.,You can either make him feel bad about himself or make him not want to be around you.
thats what always made no sense about his dimension.,That's what always confused me about his dimension.
So.. basically don't be a weird person who talks under their breath  doesn't smile  and forgets they have arms?,Could you be more friendly?
he has some serious balls！,He is very brave.
Show's over everyone  go home :(,The show is over  everyone.
"but it seems that certain groups have made up this ""outrage"" to try to weaponise the movie against MRAs.","However  it seems that certain groups have made up this ""outrage"" to try to discredit MRAs."
the point was wrasslin'  damn it.,the point was wrestling  I think.
It's about ethics in getting your undergarments in a twist every time someone wises up to how awful your website is.,It's about the ethics of criticizing someone's website.
why is it so confusing for you ?,Could you explain it to me?
Makes me feel worse overall.,I am not happy about this.
today has been the WORST day of my life (  right up their with being pants just as i was about to girl my first girlfriend in front of the entire playground.....,Today has been a difficult day.
More pissed than ever,I am very angry.
""" Will drop me out of the mood to the point where it can't be rekindled  sometimes for days.",It will ruin my mood and it can take days to get back to it.
Just lower your standards and don't lead them on.,I think you should lower your standards and not lead them on.
Writing poems is hard...,I find writing poems difficult.
didnt really get me  is it a fake or real skull?,I'm not sure if it's real or not.
ya'll built on the trap or the sweep?,Did you build on the trap or the sweep?
if you want to duo ill add you,If you want to duo  I will add you.
It's so bad that I'm fighting the urge to pretend that TCW series doesn't even exist.,I don't like it so much that I'm trying to ignore the existence of the TCW series.
I cant explain how good they are.i asked for real pics of kobe 9 low peaches,I can't explain how good they are. I asked for real pictures of kobe 9 low peaches.
"Yeah my Nmum's response would also be along the lines of  ""what about me  your mother  the one who raised you because your stupid father didn't want to because he doesnt love you while I slaved over making sure you",Yeah  my mom's response would be similar to yours.
I underestimated them which is so wrong of me,I didn't think they were that good.
Treason and bloody failure is nothing to be proud of.,I don't think treason and failure should be celebrated.
Nothing they say can be considered credible at that point since they're criminals too  no?,I think it is not credible since they are criminals too.
Poor guy probably got a grass stain on his uniform.,I am sure he is embarrassed.
Not nice  CDPR  not nice.,I think CDPR could have been nicer.
Let my disturbing experience be your boon!,Please learn from my experience.
You're wrong on so many levels.,I think you might be mistaken.
And I don't understand the value of publicizing arrests,I don't think it is a good idea to publicize arrests.
Yes  I'm an atrocious person for trampling on this poor soul's human rights to tell someone to commit suicide.,Yes  I am not a good person for telling someone to commit suicide.
forget it you killed it,I am not sure it is worth it.
Seems ridiculous for a company that makes this much money to not have a more immediate way to service their customers.,It seems unreasonable for a company that makes this much money to not have a more immediate way to service their customers.
"Don't have to wait for the ""buffer"" to fill up and waste after eother","You don't have to wait for the ""buffer"" to fill up and waste after each"
You rip out a lot of health from no where,I am not sure where you get your health.
It's mathematics  and they work just fine.,It's mathematics  and they work fine.
"Today is Tuesday  Stupid"" Not useful  I know  but there it is.",Today is Tuesday.
Yeah  but you miss out the +50 to both fire and pest resistance character attributes.,Yes  but you miss out on the +50 to both fire and pest resistance character attributes.
then that means he didn't cheat  or at least didn't leave enough evidence to him cheating lying around  so why would he confess?,Then that means he didn't cheat  or at least didn't leave enough evidence to him cheating lying around  so he wouldn't confess.
no more free passes at league..,I will not be able to play in the league anymore.
Maybe im just paranoid,I might be overly cautious.
That's the craziest damn thing I've ever heard.,That is a strange thing to say.
It has no sheen to it.,It is not shiny.
No varying speeds of fish.,Please do not vary the speed.
That's a pathetic reaction.,I think that's a bit of an overreaction.
Nobody forced him to write boring  pointless chapters designed only to send the readers off on a wild goose chase that will ultimately have no impact in the story.,I think the author could have written more interesting chapters that would have had a greater impact on the story.
* hold me up real bad.,It is not very good.
>steals That's just a lie.,That's not true.
I want them boring to watch.,I would prefer it if they were not exciting to watch.
How  just HOW can they complain about the food?,I am not sure why they would complain about the food.
Right now anal freaks me out,I am not comfortable with anal right now.
mmm maybe falling skies?,I am not sure.
I'm sure he's okay with being hated from the stupid people then.,I'm sure he's okay with being disliked by the people who are not smart.
Being on the side which is awaiting a text for a while is the worst 😔,Waiting for a text is frustrating.
it gets worse they go from small white lies to large,they start with small lies and then get bigger.
Unless she isn't in which case she's just a terrible person.,Unless she isn't  in which case she's not a very nice person.
that's not gonna happen lmao,I don't think that's going to happen.
Skins are always waste to buy.,I don't think skins are worth buying.
"Put up a sign that says ""We don't want to buy anything",Please don't come in unless you're looking to buy something.
I mean  if you're going to go into a profession or have an important hobby where ear-shape is somehow critical  then by all means  but I'm just not seeing the quality of life here.,I don't think it's necessary to worry about ear shape.
In reality he probably did something dangerous just like you noted  but no one bothers to dig.,He probably did something dangerous  but I don't think anyone has bothered to dig.
"Ahh that hair ""style"" is hurting my brain",That hairstyle is not very attractive.
I'm kind of a disappointment.,I'm not sure I'm living up to my own expectations.
If that's not a good enough explanation,If you need more explanation
Well I don't think this is insignificant but the lineup that Cleveland put out in game 2 was literally the first time that lineup was out all season.,I don't think this is insignificant  but the lineup that Cleveland put out in game 2 was the first time that lineup was out all season.
So as punishment to them we'd just have her get into black guys (well...have black guys get into her...).,So  as a punishment  we'd have her date black men.
How can anybody be this stupid?,I am surprised at how unintelligent this person is.
  you'd get mad right?,Would you be angry if that happened?
That's really messed up.,That's not good.
Sorry  BT has always struck me as a cheesy  cash out.,I am not a fan of BT.
that is too confusing for me to set up hmm...,I am not sure how to set that up.
what if I just poison them a bit?,Could you please give them just a little bit of poison?
nah there's plenty of other blithering morons out there,I am sure there are plenty of other people who are not as intelligent as you.
Kinda stuck between a rock and a hard place  eh?,I am in a difficult situation.
I am a war criminal that committed genocide with a bottle of ant killer..,I am sorry to hear that you feel that way.
You pay for it,It is your responsibility.
That is crazy; go you and your mom for being vigilant!,I think that is great; I am glad you are being careful.
signals of anxiety duuude...,I am feeling anxious.
Nah he's got that serial killer lip smile.,I don't think he's a good person.
Also no cops will get killed by scum.,Also  police officers won't get hurt by criminals.
Yeah  but the mooslims have tried this before   ( 1948  Six Days  Yom Kippur) and got their prostrating ass whooped.,Yes  but the Muslims have tried this before (1948  Six Days  Yom Kippur) and lost.
If you trip on something  you're basically doing the worlds ugliest takedown,If you trip on something  it will be a very awkward takedown.
No  no I haven't masturbated at the mall yet,No  I haven't done that yet.
They want me soo bad.,They want me a lot.
Kanter can't play defense and isn't as good a rebounder  neither should be Max,Kanter is not as good a defender as Max  and neither should be Max.
Unfortunately mine has no door in it,Unfortunately  mine does not have a door.
I don't know  crucifixion is a nasty way to go.,I am not sure  crucifixion seems extremely painful.
He's not a jerk because he's evil or bad,He is not a bad person.
But people perceive me not doing the im so sorry dance as me not caring...,"But people think I don't care because I don't do the ""I'm sorry"" dance."
Wish I could help but don't have much experience with servers unfortunately.,I'm sorry I can't help you with your server.
That definition simplifies the word to the point where any action taken against anyone can be labelled as genocide  and that's nonsense.,I think that definition is too broad.
Now you can't even take a piss without logistics.,Logistics is involved in even the most basic tasks.
most people who are stuck in a rank can't get better because they can't learn any tips or see anything new.,Most people who are stuck in a rank cannot improve because they can't learn any tips or see anything new.
I play a thief and alot of my crit and what not is determined by where I am in relation to what I am fighting and the enemies health.,I play a thief and a lot of my critical strike and what not is determined by where I am in relation to what I am fighting and the enemies health.
its to sensitive the new report system im scared to talk in chat ;-;,I'm a bit worried about the new report system.
I guess if you're just now watching the series ... dies *again* later  and no new Slayer is called.,If you are just now watching the series  she dies again  and no new Slayer is called.
You're just another faux intellectual that can't remove his head from his ass long enough to realize that Romania simply can't afford this.,I think you might be mistaken.
No one is talking about consumer goods where you can just tighten the belt and just say no.,I think the consumer goods market is different from the market you are talking about.
Do the server still suck greasy  hairy nutsacks?,Is the server still not working?
Just don't care  no one else is cringing at the things you say except you.,I don't think anyone else is bothered by the things you say.
that's such a lame plot,I don't think that's a very good plot.
Sincerely doubt they are that short-sighted.,I think they might be mistaken.
Them Swiss are a tough bunch.,The Swiss are a tough bunch.
You're seriously in the wrong sub mate.,I think you might be mistaken.
If there is a shame list these people need to be on it.,I think these people should be ashamed.
damn  you pulled it off.,You did it.
That's ignorant of you.,I think that's a bad idea.
It's not the front flip he craves More the drop that he braves He tumbles about quite lanky  not stout  he's the runner oiraves,He likes the drop more than the front flip. He is not very heavy  but he is a great runner.
Jesus  you're a faggot.,I do not think you are right.
you are now arguing semantics which is pointless.,I think we are arguing about semantics.
Does it ever stop being annoying? ',Is it ever not annoying?
This may sound very dumb,This may sound silly.
He's saying throwing a bomb puts you in combat  he used quen while he was technically still in combat and leaving combat glitched quen giving him out of combat movement while still holding quen.,He is saying that throwing a bomb puts you in combat  he used quen while he was technically still in combat and leaving combat glitched quen giving him out of combat movement while still holding quen.
Blame the attitude era.,I think the Attitude Era was responsible for this.
so sorry I rage quit.,I am sorry  but I had to leave.
normal people cannot afford are part of the problem.,Not many people can afford to be part of the problem.
You are a hipster douche,I think you might be mistaken.
Lost is just a big cheeseball soap opera of unfulfilled promises and tantalizing but ultimately dead-end plot lines.,I don't think Lost is a very good show.
Either his dad is blaming something unrelated,Either his dad is blaming something unrelated  or he is not telling the truth.
Drinking till getting drunk is a thing of the past  3 years behind me now.,I don't drink much anymore. It's been 3 years since I last drank.
You are a disgusting human being.,I am not sure if I can be friends with you.
I bet you've been a dirty grill  you need me to get out the wire brush and scrape between your slats.,I think you might need to clean your grill.
that I will become an old man full of regret,that I will regret it
No money  no Arts.,I am afraid that there is no money for the arts.
and they lose their socialist minds.,And they become upset.
You *completely* missed the point.,I think you might have misunderstood.
They're almost as bad as buzzfeed nowadays -_-,They're not as good as they used to be.
That's borderline football-hooligan mentality and it's pathetic  really.,That's not very nice.
Enraged espirit d'escalier for the rest of us.,I am upset about the situation.
A terrorist is killed in an encounter and you are batting for his rights?,I think you might be mistaken.
As opposed to a 65 year old cry baby with a spray tan?,I think you might be mistaken.
Yeah  bungie screwed me over.,Yes  Bungie did not treat me fairly.
Shake hands with danger!,Be careful.
freshman year in college I found a studio w an incredibly low monthly membership rate  which included 13 hours of class a week.,My freshman year in college  I found a studio with a low monthly membership rate  which included 13 hours of class a week.
Don't even get me started on that goddamn Nakagami armour :P,I don't want to talk about that Nakagami armour.
I hate when people do this.,I'm not a fan of when people do this.
This is such a weak argument.,I think this argument is not very convincing.
Etc really wouldnt take much to get rid of the Worst of us with that :),I think it would be a good idea to get rid of the Worst of us with that.
"this isn't ""bad economics""  but rather ""disputed economics"" at worst.",I think this is a matter of opinion  not economics.
Your post offered nothing of value at all.,I did not find your post to be very useful.
Context or are you just moaning?,Do you have a point?
I can't help but feel losing the most promising relationship she's had in years because she's not prepared to rein in her drinking would be insane.,I am concerned that she might lose this relationship because she is not ready to control her drinking.
Seems strange to have my country blocked when we have a neighboring town full of koreans here.,It is strange to have my country blocked when we have a neighboring town full of Koreans here.
but those players are just as bad if not worse then me.,But I am not the only one who is bad.
Let's make this even weirder.,Could we make this even stranger?
the guy himself was a prick For what?,The guy was not very nice. Why?
Bit too drawn out for bad n bed.,I'm not feeling well.
I mean seriously  wtf are you talking about?,I am not sure I understand what you are saying.
I mean we shouldn't seek to actively piss them off.,We should not try to anger them.
You were also terribly unfunny,I did not find your jokes funny.
I wanna cry and never take him outside again.,I am upset and I want to keep him inside.
Nah  I'd be excited about some upsets.,I would be excited about some upsets.
(Dumb mainlander) to get that straight-,I think you might be mistaken.
yours seems to be failing,It seems like yours is not working.
There is a whole bunch of confusion between a 4/4 time signature & 4 to the floor in this thread.,There is a lot of confusion between a 4/4 time signature and 4 to the floor in this thread.
ft block of iron and magnetize it heavily.,Could you please magnetize a block of iron?
Physical team aside  you'd be wrong.,You might be mistaken.
Not if you've been there to see how horrible it is in person,I don't think so.
They are terrible thought,I think they are not very good.
Ass pregnancy is the worst kind of pregnancy.,I do not like the idea of being pregnant.
You know stress kills.,Stress is bad for your health.
no one's saying you did anything wrong.,I think you might have misunderstood.
It's too hard to decide!,I'm not sure what to choose.
No one is preventing AMD from having a working physics API  Nvidia just isn't giving away the tools they've developed that AMD hasn't.,I don't think anyone is preventing AMD from having a working physics API  Nvidia just isn't giving away the tools they've developed that AMD hasn't.
Quite gross on a lady,It is not very ladylike.
Ever tired doing a psql import to oracle?,Have you ever tried importing a PostgreSQL database to Oracle?
For doing what a large majority of people consider cheating (and obviously you think so too  thus the guilt) not such an upstanding citizen right now...,For doing what a large majority of people consider cheating  you are not an upstanding citizen right now.
dont stress yourself too much i mostly dont get up before 11 a.m. +2gmt :<,I am not usually awake before 11 am.
No such build exists.,I am not sure of the build you are referring to.
Lol wtf happened to roger's legs?,Roger's legs seem to be broken.
The whole situation is just bad.,I am not happy with the situation.
"Patrick is probably going to translate to ""retard""","Patrick might be translated to ""retard""."
Na  a lot of systems are completely empty.,No  a lot of systems are empty.
Give your mother a phone call and tell her she's a slut,Could you call your mother and tell her she's a great person?
Don't wish this upon yourselves!!,I would not recommend this.
I find it unpleasant.,I am not sure if I like it.
What was done to the clones was evil  no doubt - that's the whole point.,I think it is evil what was done to the clones.
Time to go aggressive,It is time to be more aggressive.
No need to be a complete ass about it.,Could you be more polite?
Traitors  acting unpatriotically in the face of the enemy...,They are not acting patriotically.
Perhaps elements should have got for anoxia.,Perhaps elements should have gotten anoxia.
It pisses me off too.,I am also upset about it.
Yeah  they really are terrible bases  thinking about it.,Yes  they are not very good bases  thinking about it.
Go back to dawgs  faggot.,Please leave me alone.
Nothing in your title (other than the imgur gallery title) mentioned anything about comparisons  just the animation being bad.,I think your title may have been misleading.
Everything about that makes no sense in light of spotify,I don't understand how this is relevant to Spotify.
no one who wasn't there can understand.,I think it is difficult for people who were not there to understand.
Sounds like a nutty conspiracy theory.,That sounds a bit far-fetched.
Not sure if this happens to others but when looking at a framerate of 60 in a window smaller than full screen,I am not sure if this happens to others  but when looking at a framerate of 60 in a window smaller than full screen
so please tell me where I'm getting it wrong: 1  2  3: If a group of players wish to blockade a system for whatever reason  they shouldn't because you find it wrong?,I am not sure I understand. Could you explain?
Yeah I doubt anyone is getting in with less than a 3.4.,I think you might be mistaken.
leave it in the desk drawer at work after hours!,Could you leave it in the desk drawer at work after hours?
Take it from me  I've been at these events for years  although ironically will pass on this one due to how bad they handle midnight releases.,I have been at these events for years  but I will pass on this one due to how they handle midnight releases.
Sometimes your to lazy to post too!!,Sometimes you don't post.
Thats what they get for releasing the same pile of crap year by year,That's what happens when they release the same game year after year.
Phuket is all of the worst part of Thailand  none of the best.,I do not like Phuket.
If you screw up XD.,If you make a mistake  it might be bad.
that's a very bad choice of words,I think you might have chosen the wrong words.
Shooting glasses make me nervous,I am not comfortable with shooting glasses.
This is not a great suggestion,I am not sure this is a good suggestion.
Have you tried turning it off and on again' and just send out an engineer to fix my utilisation problems?,Could you send out an engineer to fix my utilisation problems?
I could swear each time I read one of these posts  there is a new book on the sidebar.,I think there is a new book on the sidebar each time I read one of these posts.
Not that I care  they're just some little holes.,They're just some little holes.
Basically hosts it off 100s of servers at the same time  and charges you depending on how much your website is accessed.,It hosts it off hundreds of servers at the same time and charges you depending on how much your website is accessed.
It's not like once you 34,I don't think it's a good idea.
I blame yixing for justifying collections.,I am not sure I agree with yixing's justification for collections.
Up your wtf game.,Could you try to be more polite?
It's gotten rather pathetic  really.,It's not very good anymore.
They hiss and spit and are all kinds of ferocious!,They seem to be angry.
way to break character  no way medieval chicks had anything less than an Afro growing down there,I think you might be mistaken.
The feelings of confusion  anxiety  and sadness are a horrible combination.,The feelings of confusion  anxiety  and sadness are not pleasant.
Not very clear at all.,I am not sure I understand.
You have no idea how lazy a person can be.,I am not very motivated.
lowly  foolish knight of the PC Master Race.,PC gamer.
This contains no new news.,I am not sure this contains any new information.
It is a horrible map,I think it could be improved.
It's extremely embarrassing as you can imagine.,It's embarrassing.
then you're going to feel stupid because of all of the pussy you could've been getting,then you might regret not having been getting more sex.
Biggest problem with this  as was pointed out to me recently when I aired a similar idea  is that standing as independent candidate becomes very muddy.,The biggest problem with this  as was pointed out to me recently when I aired a similar idea  is that standing as an independent candidate becomes very muddy.
Brings some sort of weird nostalgia to me,It reminds me of something.
You weird little stalker faggot.,You seem to be a little bit obsessed.
If it's stupid and it works it's still stupid,If it's not the best solution  it's still not a good solution.
"And what's ""wrong"" with people",And why do people do that?
I want one for no reason better than I want one.,I would like one  but I don't have a good reason.
no source just speculation,I am not sure of the source  but I am speculating.
I can get you,I can help you.
A bloody non formed human baby falling out of a vagina?,A baby that has not been born yet?
I just face palmed so hard,I am very frustrated right now.
"It just came off in a ""I have it harder than you so stop complaining"" sort of way.","It just came off in a way that seemed like ""I have it harder than you so stop complaining""."
If you want even more HP swap the weapons to Valkyrie too.,If you want even more HP  I recommend swapping the weapons to Valkyrie too.
This is so sad.,I am sorry to hear this.
I literally never bring up Religion or my lack thereof because well... why would I?,I don't usually bring up religion because I don't think it's relevant.
and I don't like how it looks.,And I'm not sure how I feel about it.
Sure that tiger wasn't skin and bones  but it didn't look well fed either.,That tiger was not well fed.
Once upon a time all the scientists in the world lost their minds and stopped doing actual science.,Once upon a time  all the scientists in the world stopped doing actual science.
Drive by will shake up things,Drive by might shake up things
Not happy with his appearance or the aging process.,I am not happy with his appearance or the aging process.
From the overwhelmingly white-washing of asian characters on the big screen to quotas limiting them from getting an education to lack of promotion of asian americans to leadership positions in the workplace.,From the lack of asian representation in the media to the lack of asian representation in education and work.
you may not like it right away,I think it may take some time to get used to it.
(I dread the day where I'll draw 50 hands in a single night.),(I am not looking forward to drawing 50 hands in a single night.)
Now it being the same deck really  just a turn slower  seems even worse to me.,It being the same deck  just a turn slower  seems even worse to me.
If you hate the Ducks so much then why cheer for them?,I don't understand why you would support the Ducks if you dislike them so much.
I dont want all that swimming on a plate of grease   if its high quality and cooked correctly,I would prefer if the food were not swimming in grease.
Yeah  but they still don't have a god damn 4k desktop option,I agree  but they don't have a 4k desktop option.
^sheep's ^clothing  ^those ^who ^can ^be ^dishonest ^once  ^are ^bound ^to ^be ^more ^often.,People who are dishonest once are likely to be dishonest again.
You just called me cancer.,I think you might have misunderstood me.
The only cringe here is your inability to crop.,I think you could improve the image by cropping it.
so we can kick his ass again,So we can defeat him again.
Chemo is all kind of terrible,Chemotherapy is not the most pleasant experience.
